slug	name	snomed	icd10	system	kind
ovarian-cyst	Ovarian cyst	79883001	N83.2	genitourinary	disorder
overactive-thyroid-hyperthyroidism	Hyperthyroidism, see Overactive thyroid (hyperthyroidism)	34486009	E05.9	endocrine	disorder
overweight-and-obesity	Obesity, see Overweight and obesity in adults	414916001	E66.9	unclassified	disorder
pagets-disease-bone	Paget's disease of bone	2089002	M88.99	musculoskeletal	disorder
pancreatic-cancer	Pancreatic cancer	363418001	C25.9	neoplasm	disorder
parkinsons-disease	Parkinson's disease	49049000		neurological	disorder
pelvic-inflammatory-disease-pid	Pelvic inflammatory disease	198130006	N73.9	infectious	disorder
pemphigus-vulgaris	Pemphigus vulgaris	49420001	L10.0	unclassified	disorder
perforated-eardrum	Eardrum (burst), see Perforated eardrum	60442001	H72.9	ear	disorder
pericarditis	Pericarditis	3238004	I31.9	cardiovascular	disorder
peripheral-arterial-disease-pad	Peripheral arterial disease (PAD)	840580004	I73.9	cardiovascular	disorder
peripheral-neuropathy	Peripheral neuropathy	302226006	G62.9	neurological	disorder
peritonitis	Peritonitis	48661000	K65.9	unclassified	disorder
peyronies-disease	Peyronie's disease	1335005	N48.6	genitourinary	disorder
phaeochromocytoma	Phaeochromocytoma	302835009	D35.0	neoplasm	disorder
