condition	symptom_id
growing-pains	69
guillain-barre-syndrome	64
guillain-barre-syndrome	289
guillain-barre-syndrome	300
guillain-barre-syndrome	358
guillain-barre-syndrome	707
guillain-barre-syndrome	708
guillain-barre-syndrome	709
gum-disease	540
gum-disease	710
gum-disease	711
gum-disease	712
gum-disease	713
gynaecomastia	714
gynaecomastia	715
haemochromatosis	10
haemochromatosis	26
haemochromatosis	29
haemochromatosis	54
haemochromatosis	249
haemochromatosis	525
haemophilia	168
haemophilia	591
haemophilia	716
hamstring-injury	717
hamstring-injury	718
hamstring-injury	719
hamstring-injury	720
hand-foot-mouth-disease	37
hand-foot-mouth-disease	40
hand-foot-mouth-disease	132
hand-foot-mouth-disease	332
hand-foot-mouth-disease	348
hand-foot-mouth-disease	721
hand-foot-mouth-disease	722
head-injury-and-concussion	18
head-injury-and-concussion	49
head-injury-and-concussion	89
head-injury-and-concussion	177
head-injury-and-concussion	389
head-injury-and-concussion	723
head-injury-and-concussion	724
head-injury-and-concussion	725
head-injury-and-concussion	726
head-injury-and-concussion	727
head-injury-and-concussion	728
head-injury-and-concussion	729
head-injury-and-concussion	730
head-injury-and-concussion	731
hearing-loss	16
hearing-loss	154
hearing-loss	519
hearing-loss	732
hearing-loss	733
hearing-loss	734
hearing-loss	735
heart-attack	7
heart-attack	49
heart-attack	64
heart-attack	87
heart-attack	683
heart-block	7
heart-block	64
heart-block	166
heart-failure	18
heart-failure	64
heart-failure	395
heart-failure	736
heart-failure	737
heart-failure	738
heart-failure	739
heart-failure	740
heart-valve-disease	7
heart-valve-disease	18
heart-valve-disease	50
heart-valve-disease	54
heart-valve-disease	64
heart-valve-disease	165
heart-valve-disease	457
heartburn-and-acid-reflux	346
heartburn-and-acid-reflux	347
heartburn-and-acid-reflux	540
heartburn-and-acid-reflux	741
heartburn-and-acid-reflux	742
heartburn-and-acid-reflux	743
heat-exhaustion-heatstroke	37
heat-exhaustion-heatstroke	48
heat-exhaustion-heatstroke	49
heat-exhaustion-heatstroke	64
heat-exhaustion-heatstroke	89
heat-exhaustion-heatstroke	90
heat-exhaustion-heatstroke	197
